23:09:29 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:09:29 | low | 80.00 Гц | 1801.0x | SIGNAL
23:09:29 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:09:29 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:09:34 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:09:34 | low | 80.00 Гц | 1801.0x | SIGNAL
23:09:35 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:09:35 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:09:40 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:09:40 | low | 80.00 Гц | 1801.0x | SIGNAL
23:09:40 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:09:40 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:09:45 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:09:45 | low | 80.00 Гц | 1801.0x | SIGNAL
23:09:45 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:09:45 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:09:50 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:09:50 | low | 80.00 Гц | 1801.0x | SIGNAL
23:09:51 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:09:51 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:09:56 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:09:56 | low | 80.00 Гц | 1801.0x | SIGNAL
23:09:56 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:09:56 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:10:01 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:10:01 | low | 80.00 Гц | 1801.0x | SIGNAL
23:10:01 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:10:01 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:10:06 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:10:06 | low | 80.00 Гц | 1801.0x | SIGNAL
23:10:06 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:10:06 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:10:11 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:10:11 | low | 80.00 Гц | 1801.0x | SIGNAL
23:10:11 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:10:11 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:10:16 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:10:16 | low | 80.00 Гц | 1801.0x | SIGNAL
23:10:17 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:10:17 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:16:10 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:16:10 | low | 80.00 Гц | 1801.0x | SIGNAL
23:16:10 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:16:10 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:16:15 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:16:15 | low | 80.00 Гц | 1801.0x | SIGNAL
23:16:15 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:16:15 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:16:20 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:16:20 | low | 80.00 Гц | 1801.0x | SIGNAL
23:16:20 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:16:20 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:16:25 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:16:25 | low | 80.00 Гц | 1801.0x | SIGNAL
23:16:26 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:16:26 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:16:31 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:16:31 | low | 80.00 Гц | 1801.0x | SIGNAL
23:16:31 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:16:31 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:16:36 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:16:36 | low | 80.00 Гц | 1801.0x | SIGNAL
23:16:36 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:16:36 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:16:41 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:16:41 | low | 80.00 Гц | 1801.0x | SIGNAL
23:16:42 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:16:42 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:16:47 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:16:47 | low | 80.00 Гц | 1801.0x | SIGNAL
23:16:47 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:16:47 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:16:52 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:16:52 | low | 80.00 Гц | 1801.0x | SIGNAL
23:16:52 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:16:52 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:16:57 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:16:57 | low | 80.00 Гц | 1801.0x | SIGNAL
23:16:57 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:16:57 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:17:03 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:17:03 | low | 80.00 Гц | 1801.0x | SIGNAL
23:17:03 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:17:03 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:17:08 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:17:08 | low | 80.00 Гц | 1801.0x | SIGNAL
23:17:08 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:17:08 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:17:13 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:17:13 | low | 80.00 Гц | 1801.0x | SIGNAL
23:17:13 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:17:13 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:17:18 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:17:18 | low | 80.00 Гц | 1801.0x | SIGNAL
23:17:18 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:17:18 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:17:23 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:17:24 | low | 80.00 Гц | 1801.0x | SIGNAL
23:17:24 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:17:24 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:17:29 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:17:29 | low | 80.00 Гц | 1801.0x | SIGNAL
23:17:29 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:17:29 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:17:34 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:17:34 | low | 80.00 Гц | 1801.0x | SIGNAL
23:17:34 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:17:34 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:17:39 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:17:39 | low | 80.00 Гц | 1801.0x | SIGNAL
23:17:39 | medium | 120.00 Гц | 5810.1x | SIGNAL
