timestamp,cycle,scale,modes_count,nodes_created,furcations_count,phase,frequency
2026-04-05T04:14:03.915716,540,1.0,102703,4,10,3.467,10.000
2026-04-05T04:14:03.915716,540,0.1,18002,9,8,4.322,10.000
2026-04-05T04:14:03.915716,540,0.3,16690,14,9,3.489,10.000
2026-04-05T04:14:03.915716,540,3.0,22284,12,6,1.038,3.333
2026-04-05T04:14:03.915716,540,10.0,86010,11,9,1.118,1.000
2026-04-05T04:14:03.915716,540,30.0,20088,10,9,4.026,0.333
2026-04-05T04:14:03.915716,540,100.0,16622,6,4,4.506,0.100
2026-04-05T04:14:33.925007,1080,1.0,102703,13,18,3.290,10.000
2026-04-05T04:14:33.925007,1080,0.1,18002,18,15,4.145,10.000
2026-04-05T04:14:33.925007,1080,0.3,16690,26,18,3.312,10.000
2026-04-05T04:14:33.925007,1080,3.0,22284,24,16,3.074,3.333
2026-04-05T04:14:33.925007,1080,10.0,86010,25,14,2.986,1.000
2026-04-05T04:14:33.925007,1080,30.0,20088,23,19,0.460,0.333
2026-04-05T04:14:33.925007,1080,100.0,16622,16,13,0.923,0.100
2026-04-05T04:15:03.941153,1610,1.0,102703,18,28,4.396,10.000
2026-04-05T04:15:03.941153,1610,0.1,18002,32,21,5.251,10.000
2026-04-05T04:15:03.941153,1610,0.3,16690,36,30,4.418,10.000
2026-04-05T04:15:03.941153,1610,3.0,22284,34,20,3.443,3.333
2026-04-05T04:15:03.941153,1610,10.0,86010,34,23,4.353,1.000
2026-04-05T04:15:03.941153,1610,30.0,20088,35,29,3.010,0.333
2026-04-05T04:15:03.941153,1610,100.0,16622,28,26,3.573,0.100
2026-04-05T04:15:33.987448,2123,1.0,102703,29,34,3.286,10.000
2026-04-05T04:15:33.987448,2123,0.1,18002,42,28,4.140,10.000
2026-04-05T04:15:33.987448,2123,0.3,16690,48,35,3.307,10.000
2026-04-05T04:15:33.987448,2123,3.0,22284,42,27,0.978,3.333
2026-04-05T04:15:33.987448,2123,10.0,86010,46,35,4.870,1.000
2026-04-05T04:15:33.987448,2123,30.0,20088,42,35,5.277,0.333
2026-04-05T04:15:33.987448,2123,100.0,16622,39,35,6.138,0.100
2026-04-05T04:16:04.001449,2658,1.0,102703,38,44,0.609,10.000
2026-04-05T04:16:04.001449,2658,0.1,18002,51,35,1.463,10.000
2026-04-05T04:16:04.001449,2658,0.3,16690,57,42,0.630,10.000
