timestamp,cycle,coherence,total_nodes,total_furcations
2026-04-05T04:13:39.417759,100,0.9936,12,8
2026-04-05T04:13:44.836403,200,0.9936,24,20
2026-04-05T04:13:50.485875,300,0.9931,35,33
2026-04-05T04:13:56.204606,400,0.9939,48,40
2026-04-05T04:14:01.752926,500,0.9932,58,52
2026-04-05T04:14:07.276696,600,0.9949,77,61
2026-04-05T04:14:12.933134,700,0.9955,95,78
2026-04-05T04:14:18.267326,800,0.9953,106,91
2026-04-05T04:14:23.770735,900,0.9956,121,101
2026-04-05T04:14:29.494689,1000,0.9967,134,107
2026-04-05T04:14:35.039149,1100,0.9979,148,114
2026-04-05T04:14:40.931684,1200,0.9975,162,130
2026-04-05T04:14:46.594974,1300,0.9972,174,143
2026-04-05T04:14:52.282446,1400,0.9969,186,155
2026-04-05T04:14:57.808057,1500,0.9973,200,164
2026-04-05T04:15:03.383493,1600,0.9976,215,176
2026-04-05T04:15:09.616362,1700,0.9980,235,183
2026-04-05T04:15:15.468150,1800,0.9967,242,197
2026-04-05T04:15:21.468661,1900,0.9977,256,206
2026-04-05T04:15:27.186272,2000,0.9973,269,217
2026-04-05T04:15:32.800862,2100,0.9980,287,229
2026-04-05T04:15:38.207181,2200,0.9977,295,233
2026-04-05T04:15:43.842030,2300,0.9975,306,243
2026-04-05T04:15:49.298404,2400,0.9973,314,252
2026-04-05T04:15:55.002830,2500,0.9975,330,269
2026-04-05T04:16:00.647127,2600,0.9978,345,278
2026-04-05T04:16:06.257837,2700,0.9980,357,285
2026-04-05T04:16:11.759857,2800,0.9980,371,292
2026-04-05T04:16:17.413682,2900,0.9974,386,307
2026-04-05T04:16:22.965972,3000,0.9966,394,318
2026-04-05T04:16:28.451866,3100,0.9943,402,336
2026-04-05T04:16:34.352907,3200,0.9932,416,355
2026-04-05T04:16:39.910985,3300,0.9929,425,364
2026-04-05T04:16:45.432003,3400,0.9925,438,380
2026-04-05T04:16:51.123649,3500,0.9928,453,395
2026-04-05T04:16:56.734183,3600,0.9938,467,403
2026-04-05T04:17:02.222515,3700,0.9910,474,424
2026-04-05T04:17:08.031030,3800,0.9923,491,437
2026-04-05T04:17:13.607043,3900,0.9914,500,450
2026-04-05T04:17:19.383889,4000,0.9916,513,460
2026-04-05T04:17:24.970980,4100,0.9922,522,466
2026-04-05T04:17:30.543583,4200,0.9920,533,478
2026-04-05T04:17:36.179778,4300,0.9899,539,492
2026-04-05T04:17:42.212251,4400,0.9917,560,502
2026-04-05T04:17:47.949658,4500,0.9922,573,514
2026-04-05T04:17:53.573584,4600,0.9920,584,525
2026-04-05T04:17:58.900464,4700,0.9921,592,530
2026-04-05T04:18:04.658651,4800,0.9932,614,545
2026-04-05T04:18:10.252992,4900,0.9933,625,552
2026-04-05T04:18:15.919816,5000,0.9941,641,566
2026-04-05T04:18:21.573536,5100,0.9941,653,580
2026-04-05T04:18:27.287703,5200,0.9928,663,596
2026-04-05T04:18:32.639512,5300,0.9911,668,609
2026-04-05T04:18:38.406974,5400,0.9918,685,622
2026-04-05T04:18:43.881885,5500,0.9915,697,634
2026-04-05T04:18:49.352453,5600,0.9898,705,654
2026-04-05T04:18:54.750613,5700,0.9902,713,660
2026-04-05T04:19:00.569296,5800,0.9896,725,679
2026-04-05T04:19:06.059707,5900,0.9898,735,689
2026-04-05T04:19:11.858055,6000,0.9919,753,696
