timestamp,cycle,event_type,resonance_type,resonance_value,scale,scale_name,complexity,complexity_name,total_nodes,total_modes,coherence,event_time_ms
2026-04-05T04:00:10.517633,2,node_creation,0.3↔1.0,0.827,1.0,слова,3,,1,282399,0.993,810522
2026-04-05T04:00:10.992939,11,node_creation,0.3↔1.0,0.828,3.0,словосочетания,3,,2,282399,0.993,810992
2026-04-05T04:00:11.299939,17,node_creation,0.1↔0.3,0.824,30.0,абзацы,4,метафорический,3,282399,0.993,811299
2026-04-05T04:00:11.656939,24,node_creation,0.3↔1.0,0.817,1.0,слова,3,,4,282399,0.993,811656
2026-04-05T04:00:11.852206,27,node_creation,0.1↔0.3,0.818,10.0,предложения,1,бытовой,5,282399,0.993,811852
2026-04-05T04:00:11.904183,28,node_creation,0.3↔1.0,0.820,3.0,словосочетания,2,научный,6,282399,0.993,811904
2026-04-05T04:00:12.824543,46,node_creation,0.3↔1.0,0.836,30.0,абзацы,1,бытовой,7,282399,0.993,812824
2026-04-05T04:00:12.885518,47,node_creation,0.1↔0.3,0.822,3.0,словосочетания,3,,8,282399,0.993,812885
2026-04-05T04:00:13.010518,49,node_creation,0.1↔0.3,0.827,1.0,слова,1,бытовой,9,282399,0.993,813010
2026-04-05T04:00:13.689150,62,node_creation,0.1↔0.3,0.824,30.0,абзацы,3,,10,282399,0.993,813689
2026-04-05T04:00:14.526855,78,node_creation,0.1↔0.3,0.836,0.1,буквы/слоги,2,научный,11,282399,0.993,814526
2026-04-05T04:00:14.786050,83,node_creation,0.1↔0.3,0.815,30.0,абзацы,1,бытовой,12,282399,0.993,814786
2026-04-05T04:00:15.204057,91,node_creation,0.1↔0.3,0.832,1.0,слова,4,метафорический,13,282399,0.993,815204
2026-04-05T04:00:15.414059,95,node_creation,0.1↔0.3,0.815,10.0,предложения,4,метафорический,14,282399,0.993,815414
2026-04-05T04:00:16.740232,121,node_creation,0.1↔0.3,0.827,30.0,абзацы,4,метафорический,15,282399,0.993,816740
2026-04-05T04:00:17.456762,135,node_creation,0.3↔1.0,0.811,30.0,абзацы,2,научный,16,282399,0.993,817456
2026-04-05T04:00:17.827946,142,node_creation,0.1↔0.3,0.823,10.0,предложения,3,,17,282399,0.993,817827
2026-04-05T04:00:18.088946,147,node_creation,0.3↔1.0,0.809,10.0,предложения,4,метафорический,18,282399,0.993,818088
2026-04-05T04:00:18.246943,150,node_creation,0.1↔0.3,0.828,0.1,буквы/слоги,3,,19,282399,0.993,818246
2026-04-05T04:00:18.297945,151,node_creation,0.3↔1.0,0.833,0.3,буквы/слоги,3,,20,282399,0.993,818297
2026-04-05T04:00:18.735536,159,node_creation,0.3↔1.0,0.822,10.0,предложения,3,,21,282399,0.993,818735
2026-04-05T04:00:18.933681,161,node_creation,0.3↔1.0,0.824,3.0,словосочетания,3,,22,282399,0.993,818933
2026-04-05T04:00:19.092678,163,node_creation,0.3↔1.0,0.822,1.0,слова,1,бытовой,23,282399,0.993,819092
2026-04-05T04:00:19.302707,167,node_creation,0.1↔0.3,0.817,10.0,предложения,2,научный,24,282399,0.993,819302
2026-04-05T04:00:20.144830,183,node_creation,0.1↔0.3,0.825,3.0,словосочетания,2,научный,25,282399,0.993,820144
2026-04-05T04:00:20.998284,199,node_creation,0.1↔0.3,0.822,0.1,буквы/слоги,1,бытовой,26,282399,0.993,820998
2026-04-05T04:00:21.183284,202,node_creation,0.3↔1.0,0.830,100.0,целые тексты,1,бытовой,27,282399,0.993,821183
2026-04-05T04:00:21.647284,211,node_creation,0.1↔0.3,0.830,3.0,словосочетания,4,метафорический,28,282399,0.993,821647
2026-04-05T04:00:21.878959,214,node_creation,0.3↔1.0,0.811,3.0,словосочетания,1,бытовой,29,282399,0.993,821878
2026-04-05T04:00:22.184934,220,node_creation,0.3↔1.0,0.837,30.0,абзацы,1,бытовой,30,282399,0.993,822184
2026-04-05T04:00:23.539635,244,node_creation,0.1↔0.3,0.830,0.1,буквы/слоги,3,,31,282399,0.993,823539
2026-04-05T04:00:24.287921,258,node_creation,0.1↔0.3,0.809,3.0,словосочетания,3,,32,282399,0.993,824287
2026-04-05T04:00:24.912781,269,node_creation,0.1↔0.3,0.822,0.1,буквы/слоги,3,,33,282399,0.993,824912
2026-04-05T04:00:25.183781,273,node_creation,0.1↔0.3,0.837,30.0,абзацы,3,,34,282399,0.993,825183
2026-04-05T04:00:25.295752,275,node_creation,0.3↔1.0,0.812,0.3,буквы/слоги,1,бытовой,35,282399,0.993,825295
2026-04-05T04:00:25.403756,277,node_creation,0.3↔1.0,0.825,30.0,абзацы,1,бытовой,36,282399,0.993,825403
2026-04-05T04:00:25.686399,282,node_creation,0.1↔0.3,0.821,0.1,буквы/слоги,2,научный,37,282399,0.993,825686
2026-04-05T04:00:25.811127,284,node_creation,0.3↔1.0,0.833,0.3,буквы/слоги,3,,38,282399,0.993,825811
2026-04-05T04:00:25.985155,287,node_creation,0.1↔0.3,0.811,0.1,буквы/слоги,3,,39,282399,0.993,825985
2026-04-05T04:00:26.147155,290,node_creation,0.3↔1.0,0.833,3.0,словосочетания,2,научный,40,282399,0.993,826147
