timestamp,cycle,furcations_count,scales_involved,complexities_involved,total_furcations,coherence
2026-04-05T04:22:53.734079,13,1,100.0,2,1,0.9931
2026-04-05T04:22:55.519066,46,1,10.0,2,2,0.9934
2026-04-05T04:22:57.099547,76,1,30.0,3,3,0.9937
2026-04-05T04:22:58.103367,95,1,30.0,2,4,0.9936
2026-04-05T04:22:58.760032,105,2,100.0;0.1,1;2,6,0.9937
2026-04-05T04:22:59.039627,110,1,10.0,1,7,0.9936
2026-04-05T04:22:59.117630,111,1,3.0,2,8,0.9933
2026-04-05T04:22:59.655635,120,1,3.0,3,9,0.9932
2026-04-05T04:23:00.710595,140,2,0.3;3.0,3;2,11,0.9937
2026-04-05T04:23:01.620034,156,1,1.0,3,12,0.9942
2026-04-05T04:23:03.011309,183,2,3.0;100.0,4;2,14,0.9943
2026-04-05T04:23:03.284308,187,3,100.0;1.0;1.0,3;4;1,17,0.9940
2026-04-05T04:23:03.502282,191,1,10.0,1,18,0.9937
2026-04-05T04:23:03.823575,196,1,100.0,2,19,0.9936
2026-04-05T04:23:05.632412,228,1,3.0,1,20,0.9939
2026-04-05T04:23:05.742095,230,1,1.0,2,21,0.9936
2026-04-05T04:23:06.332663,241,1,10.0,1,22,0.9933
2026-04-05T04:23:07.800633,268,1,10.0,2,23,0.9934
2026-04-05T04:23:07.973632,270,1,10.0,1,24,0.9931
2026-04-05T04:23:08.751196,284,3,3.0;30.0;3.0,3;2;2,27,0.9930
2026-04-05T04:23:08.964841,288,2,10.0;0.3,2;3,29,0.9927
2026-04-05T04:23:10.335112,311,2,3.0;10.0,3;2,31,0.9926
2026-04-05T04:23:10.404115,312,1,1.0,1,32,0.9923
2026-04-05T04:23:10.794355,319,2,3.0;0.1,2;3,34,0.9924
2026-04-05T04:23:11.535383,332,1,10.0,2,35,0.9925
2026-04-05T04:23:12.761391,354,2,30.0;100.0,1;1,37,0.9932
2026-04-05T04:23:13.171505,361,1,1.0,3,38,0.9931
2026-04-05T04:23:13.358516,364,2,30.0;10.0,1;2,40,0.9928
2026-04-05T04:23:15.456777,405,1,30.0,3,41,0.9925
2026-04-05T04:23:15.531779,406,2,0.1;10.0,1;3,43,0.9922
2026-04-05T04:23:15.796181,411,1,1.0,1,44,0.9919
2026-04-05T04:23:16.815571,428,1,0.1,1,45,0.9922
2026-04-05T04:23:16.888543,429,1,100.0,2,46,0.9919
2026-04-05T04:23:17.247571,436,2,0.3;0.1,3;1,48,0.9916
2026-04-05T04:23:17.579572,442,2,3.0;3.0,2;1,50,0.9913
2026-04-05T04:23:18.944968,464,2,100.0;1.0,2;1,52,0.9918
2026-04-05T04:23:19.482940,473,1,0.1,1,53,0.9923
2026-04-05T04:23:19.828431,479,1,30.0,3,54,0.9920
2026-04-05T04:23:19.933402,481,1,10.0,2,55,0.9917
2026-04-05T04:23:20.470431,490,2,0.1;3.0,1;2,57,0.9916
2026-04-05T04:23:21.158158,502,1,10.0,3,58,0.9919
2026-04-05T04:23:23.466975,542,1,10.0,1,59,0.9928
2026-04-05T04:23:23.686537,546,2,0.3;0.1,1;1,61,0.9925
2026-04-05T04:23:24.837789,565,1,3.0,3,62,0.9926
2026-04-05T04:23:25.666794,581,1,10.0,2,63,0.9925
2026-04-05T04:23:27.434324,610,1,30.0,3,64,0.9930
2026-04-05T04:23:28.133250,621,3,1.0;0.3;0.1,3;1;3,67,0.9933
2026-04-05T04:23:28.566249,627,1,10.0,2,68,0.9930
2026-04-05T04:23:29.230765,636,2,100.0;1.0,1;3,70,0.9929
2026-04-05T04:23:30.138578,650,1,3.0,3,71,0.9928
2026-04-05T04:23:30.913382,661,2,1.0;30.0,4;1,73,0.9925
2026-04-05T04:23:32.493802,687,1,1.0,4,74,0.9928
2026-04-05T04:23:32.813499,693,1,100.0,2,75,0.9925
2026-04-05T04:23:33.010479,696,1,30.0,3,76,0.9922
2026-04-05T04:23:33.545472,705,2,0.3;0.1,2;1,78,0.9921
2026-04-05T04:23:35.238697,733,1,100.0,4,79,0.9928
2026-04-05T04:23:35.332699,734,3,1.0;0.3;100.0,1;3;1,82,0.9925
2026-04-05T04:23:37.460261,767,1,1.0,3,83,0.9932
2026-04-05T04:23:37.743523,771,2,3.0;0.3,3;4,85,0.9931
2026-04-05T04:23:39.287035,797,2,0.3;10.0,3;1,87,0.9934
2026-04-05T04:23:39.403009,799,1,100.0,4,88,0.9931
2026-04-05T04:23:41.426559,833,1,0.3,1,89,0.9934
2026-04-05T04:23:41.971025,842,1,10.0,3,90,0.9935
2026-04-05T04:23:44.120119,877,2,100.0;10.0,2;2,92,0.9942
2026-04-05T04:23:44.962646,889,1,100.0,2,93,0.9941
2026-04-05T04:23:45.120618,892,3,0.3;10.0;0.3,1;4;1,96,0.9938
2026-04-05T04:23:46.227364,911,1,1.0,3,97,0.9939
2026-04-05T04:23:47.080950,924,2,3.0;100.0,1;2,99,0.9948
2026-04-05T04:23:47.279954,927,3,1.0;10.0;30.0,2;4;1,102,0.9949
2026-04-05T04:23:47.342951,928,1,10.0,1,103,0.9946
2026-04-05T04:23:47.818867,936,1,1.0,2,104,0.9947
2026-04-05T04:23:48.903232,953,1,0.1,3,105,0.9948
2026-04-05T04:23:49.203233,958,2,0.3;3.0,3;3,107,0.9945
2026-04-05T04:23:49.696645,966,2,30.0;30.0,1;1,109,0.9944
2026-04-05T04:23:49.885320,969,2,100.0;30.0,3;3,111,0.9941
2026-04-05T04:23:50.397345,978,2,3.0;30.0,1;2,113,0.9940
2026-04-05T04:23:51.194407,991,1,1.0,2,114,0.9939
2026-04-05T04:23:51.277378,992,1,0.1,2,115,0.9936
2026-04-05T04:23:51.695102,998,2,30.0;0.1,2;2,117,0.9937
2026-04-05T04:23:52.228843,1008,1,1.0,3,118,0.9934
2026-04-05T04:23:53.893872,1034,2,1.0;0.3,1;3,120,0.9939
2026-04-05T04:23:55.051940,1054,2,0.1;0.1,3;4,122,0.9936
2026-04-05T04:23:55.652941,1064,2,3.0;30.0,3;2,124,0.9935
2026-04-05T04:23:56.146931,1073,1,100.0,1,125,0.9934
2026-04-05T04:23:57.557257,1099,1,10.0,2,126,0.9939
2026-04-05T04:23:58.938288,1122,1,30.0,1,127,0.9940
2026-04-05T04:23:59.042286,1124,1,30.0,1,128,0.9939
2026-04-05T04:24:00.539219,1149,1,0.3,1,129,0.9944
2026-04-05T04:24:02.643742,1185,1,3.0,2,130,0.9963
2026-04-05T04:24:02.709717,1186,2,1.0;0.1,1;2,132,0.9960
2026-04-05T04:24:03.730851,1203,3,10.0;1.0;30.0,3;3;2,135,0.9957
2026-04-05T04:24:03.947909,1207,1,1.0,1,136,0.9954
2026-04-05T04:24:04.938779,1225,1,0.1,3,137,0.9953
2026-04-05T04:24:07.041601,1263,3,100.0;0.1;0.1,2;3;2,140,0.9962
2026-04-05T04:24:07.409630,1270,2,10.0;1.0,4;3,142,0.9961
2026-04-05T04:24:08.507551,1288,1,10.0,1,143,0.9962
2026-04-05T04:24:10.127031,1314,1,30.0,1,144,0.9967
2026-04-05T04:24:10.609031,1322,2,100.0;100.0,3;3,146,0.9966
2026-04-05T04:24:11.095832,1331,1,0.3,2,147,0.9963
2026-04-05T04:24:12.058349,1348,1,10.0,1,148,0.9966
2026-04-05T04:24:13.958871,1380,1,3.0,1,149,0.9975
2026-04-05T04:24:14.090875,1382,1,0.3,2,150,0.9972
2026-04-05T04:24:15.848411,1412,2,0.1;0.3,3;1,152,0.9973
2026-04-05T04:24:16.060403,1415,2,0.1;100.0,3;1,154,0.9972
2026-04-05T04:24:16.193405,1416,1,1.0,3,155,0.9969
2026-04-05T04:24:17.964065,1444,2,30.0;1.0,3;2,157,0.9974
2026-04-05T04:24:19.658798,1471,1,0.3,1,158,0.9977
2026-04-05T04:24:21.928850,1506,1,10.0,1,159,0.9977
2026-04-05T04:24:22.339830,1512,1,100.0,2,160,0.9977
2026-04-05T04:24:23.208442,1527,2,100.0;10.0,2;3,162,0.9977
