timestamp,cycle,scale,scale_name,complexity,complexity_name,resonance_value,verified,verification_reason
2026-04-06T03:08:23.361386,3,1.0,слова,4,метафорический,0.817,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:08:23.596385,7,1.0,слова,2,научный,0.835,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:08:24.125381,12,1.0,слова,1,бытовой,0.827,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:08:24.454388,16,1.0,слова,2,научный,0.811,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:08:24.662385,19,1.0,слова,3,ВММП,0.812,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:08:24.751386,20,1.0,слова,3,ВММП,0.823,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:08:24.940387,23,1.0,слова,2,научный,0.815,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:08:25.550387,32,1.0,слова,4,метафорический,0.809,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:08:26.307384,43,1.0,слова,3,ВММП,0.816,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:08:26.509384,46,1.0,слова,2,научный,0.835,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:08:27.378387,59,1.0,слова,2,научный,0.837,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:08:27.649381,63,1.0,слова,2,научный,0.834,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:08:27.720386,64,1.0,слова,4,метафорический,0.825,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:08:28.682387,78,1.0,слова,2,научный,0.836,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:08:28.752386,79,1.0,слова,4,метафорический,0.809,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:08:28.813386,80,1.0,слова,2,научный,0.815,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:08:29.028384,83,1.0,слова,4,метафорический,0.833,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:08:29.097381,84,1.0,слова,2,научный,0.834,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:08:29.650382,92,1.0,слова,3,ВММП,0.830,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:08:29.920387,96,1.0,слова,2,научный,0.830,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:08:31.291383,116,1.0,слова,3,ВММП,0.810,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:08:31.492381,119,1.0,слова,2,научный,0.811,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:08:32.996387,142,1.0,слова,3,ВММП,0.833,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
2026-04-06T03:08:34.730381,169,1.0,слова,3,ВММП,0.824,False,масштаб 1.0 frozen (нельзя создавать новые узлы)
